[ 2025-12-31 19:36:04,524 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-31 19:37:11,690 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-31 19:37:11,690 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-31 19:37:11,690 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-31 19:37:11,705 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-31 19:37:11,711 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-31 19:37:11,752 ] 26 root - INFO - Initiate the data validation
[ 2025-12-31 19:37:11,839 ] 32 root - INFO - Required number of columns:2
[ 2025-12-31 19:37:11,839 ] 33 root - INFO - Data frame has columns:1
[ 2025-12-31 19:37:11,839 ] 32 root - INFO - Required number of columns:2
[ 2025-12-31 19:37:11,839 ] 33 root - INFO - Data frame has columns:1
[ 2025-12-31 19:37:11,880 ] 28 root - INFO - data validation completed
[ 2025-12-31 19:37:11,880 ] 31 root - INFO - data transformation started
[ 2025-12-31 19:37:11,880 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-31 19:37:11,880 ] 65 root - INFO - Starting data transformation
[ 2025-12-31 19:37:11,916 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-31 19:37:11,916 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-31 19:37:11,924 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-31 19:37:11,932 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-31 19:37:11,932 ] 35 root - INFO - data transformation completed
[ 2025-12-31 19:37:11,932 ] 37 root - INFO - Model Training started
[ 2025-12-31 19:40:49,875 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-31 19:40:49,875 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-31 19:40:49,875 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_31_2025_19_35_40\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991272579663081, precision_score=0.988663967611336, recall_score=0.9938949938949939), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9800637958532695, precision_score=0.9715415019762846, recall_score=0.9887369267900241))
[ 2025-12-31 19:40:49,875 ] 42 root - INFO - Model Training Artifact Created
