[ 2025-12-30 18:51:12,295 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-30 18:52:10,895 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-30 18:52:10,895 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-30 18:52:10,896 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-30 18:52:10,913 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-30 18:52:10,914 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-30 18:52:10,958 ] 26 root - INFO - Initiate the data validation
[ 2025-12-30 18:52:11,043 ] 32 root - INFO - Required number of columns:2
[ 2025-12-30 18:52:11,043 ] 33 root - INFO - Data frame has columns:1
[ 2025-12-30 18:52:11,044 ] 32 root - INFO - Required number of columns:2
[ 2025-12-30 18:52:11,044 ] 33 root - INFO - Data frame has columns:1
[ 2025-12-30 18:52:11,117 ] 28 root - INFO - data validation completed
[ 2025-12-30 18:52:11,117 ] 31 root - INFO - data transformation started
[ 2025-12-30 18:52:11,117 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-30 18:52:11,117 ] 65 root - INFO - Starting data transformation
